"appearance_id","game_id","player_id","player_club_id","player_current_club_id","date","player_name","competition_id","yellow_cards","red_cards","goals","assists","minutes_played"
"2544484_91849",2544484,91849,190,190,"2015-04-30","Thomas Delaney","DKP",0,0,0,0,90
"2224866_29894",2224866,29894,498,29228,"2012-12-15","Georgios Galitsios","BE1",0,0,0,0,90
"4120589_913115",4120589,913115,55686,39097,"2023-12-07","Kostyantyn Bychek","UKR1",2,0,0,0,41
"3047872_40014",3047872,40014,1421,553,"2019-05-11","Alaixys Romao","FR1",0,0,0,0,83
"3413138_194638",3413138,194638,82,82,"2021-01-16","Renato Steffen","L1",0,0,1,0,85
"2847881_65966",2847881,65966,932,932,"2017-04-29","Aleksandr Kolomeytsev","RU1",0,0,0,0,63
"4150544_113045",4150544,113045,265,265,"2023-12-20","Rubén Pérez","GR1",0,0,0,0,61
"3063738_293325",3063738,293325,5724,5724,"2019-02-17","Emil Riis","DK1",0,1,0,0,4
"3420928_94925",3420928,94925,16239,83678,"2021-02-13","Yegor Kartushov","UKR1",0,0,0,0,23
"2627933_90769",2627933,90769,18303,55686,"2015-10-28","Vitaliy Ponomar","UKRP",0,0,0,0,90
"3651068_18922",3651068,18922,418,418,"2021-09-28","Karim Benzema","CL",0,0,1,0,90
"2334984_128196",2334984,128196,2759,2759,"2013-12-29","Ben Gordon","SC1",0,0,0,0,90
"2251951_95949",2251951,95949,2451,511,"2013-03-09","Nick Ross","SC1",0,0,0,0,32
"3212647_362835",3212647,362835,7378,7378,"2020-06-30","Júnior Tavares","PO1",0,0,0,0,84
"2270869_96881",2270869,96881,2079,2079,"2012-12-09","Dimitrios Amarantidis","GR1",0,0,0,0,90
"2470301_261611",2470301,261611,126,443,"2015-04-19","Ali Adnan","TR1",0,0,0,0,6
"2475441_7781",2475441,7781,3709,1108,"2015-03-16","Alexis Ruano","ES1",1,0,0,0,90
"3956713_535834",3956713,535834,162,162,"2023-02-16","Eliot Matazo","EL",0,0,0,0,19
"2620464_57814",2620464,57814,1091,1091,"2015-09-12","Miguel Vítor","GR1",0,0,0,0,90
"3084101_33862",3084101,33862,1096,10484,"2018-08-19","Sinan Bolat","BE1",0,0,0,0,90
