"player_id","transfer_date","transfer_season","from_club_id","to_club_id","from_club_name","to_club_name","transfer_fee","market_value_in_eur","player_name"
528451,"2022-08-05","22/23",1063,4795,"Viborg FF","FC Ingolstadt",550000,450000,"Tobias Bech"
323831,"2016-06-30","15/16",9961,13,"Deportivo Cali","Atlético Madrid",0,9e+05,"Rafael Borré"
48067,"2014-06-30","13/14",1083,232,"Rostov","Spartak Moscow",0,5e+06,"Artem Dzyuba"
184928,"2024-08-30","24/25",24971,6347,"Ha Noi FC","Paysandu",0,550000,"Joel Tagueu"
56490,"2016-02-01","15/16",18916,825,"GZ R&F","Eskisehirspor",0,8e+05,"Jeremy Bokila"
50355,"2015-07-01","15/16",121,16704,"Dinamo Moscow","Krasnodar",0,2500000,"Fedor Smolov"
473169,"2021-07-01","21/22",8817,23826,"Ajax U21","RB Leipzig",0,7500000,"Brian Brobbey"
64339,"2013-06-30","12/13",897,13,"Dep. La Coruña","Atlético Madrid",0,6e+06,"Pizzi"
228791,"2019-01-07","18/19",3696,2814,"Dag & Red FC","Gillingham FC",0,1e+05,"Conor Wilkinson"
430280,"2023-01-04","22/23",4554,41101,"Südtirol","Juve Next Gen",0,1800000,"Hans Nicolussi Caviglia"
818237,"2024-02-01","23/24",12124,12405,"Aston Villa U21","Real Unión",0,2e+05,"Tommi O'Reilly"
741229,"2024-07-05","24/25",9043,1010,"Celtic B","Watford",281000,50000,"Rocco Vata"
77966,"2022-09-01","22/23",114,385,"Besiktas","Fortuna Sittard",0,1e+06,"Oğuzhan Özyakup"
696346,"2024-05-31","23/24",337,931,"Birmingham","Fulham",0,3500000,"Jay Stansfield"
282144,"2020-01-15","19/20",409,82,"RB Salzburg","VfL Wolfsburg",9e+06,6e+06,"Marin Pongračić"
121477,"2021-05-31","20/21",379,1010,"West Ham","Watford",0,5e+06,"Craig Dawson"
403564,"2024-07-01","24/25",1123,511,"Norwich","Dundee FC",0,250000,"Jon McCracken"
355370,"2016-08-31","16/17",618,1080,"Saint-Étienne","Stade Lavallois",0,150000,"Dylan Saint-Louis"
322073,"2018-08-15","18/19",267,4309,"Start","HamKam",0,125000,"Isac Lidberg"
258004,"2020-09-29","20/21",294,281,"Benfica","Man City",71600000,3.5e+07,"Rúben Dias"
815543,"2024-07-15","24/25",16996,46293,"Verona U19","Caldiero",0,125000,"Denis Cazzadori"
294804,"2024-06-03","24/25",515,7020,"Without Club","CD Everton",0,1e+06,"Eduardo Bauermann"
210178,"2022-06-30","21/22",410,11,"Udinese Calcio","Arsenal",0,5e+06,"Pablo Marí"
452584,"2023-07-01","23/24",28643,9010,"SK Beveren","FCV Dender EH",0,4e+05,"Bruny Nsimba"
238367,"2022-08-04","22/23",6912,28848,"Vizela","Al-Faisaly",3e+05,2e+05,"Cassiano"
